gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.0,1,30.186880000000002,6.514239838936208,1,23.672640161063793,36.70111983893621
0.0,2,29.23606930693069,6.434309985161465,2,22.801759321769225,35.67037929209216
0.0,3,29.66994,6.227043025774631,2,23.44289697422537,35.89698302577463
0.0,4,29.372128,5.969400528890085,5,23.402727471109916,35.34152852889009
0.0,5,30.23172,6.85174529867973,2,23.37997470132027,37.08346529867973
0.0,6,29.85087,5.578051947444004,2,24.272818052555998,35.428921947444
0.0,7,30.168519999999997,6.114489009564152,2,24.054030990435844,36.28300900956415
0.1,1,27.97364,6.456988410795151,1,21.516651589204848,34.43062841079515
0.1,2,24.476170000000003,7.3513388103216535,2,17.12483118967835,31.827508810321657
0.1,3,27.87011,7.5894614398765965,2,20.280648560123403,35.4595714398766
0.1,4,25.995540000000002,7.838213057075732,5,18.15732694292427,33.83375305707573
0.1,5,24.95357,6.587642648301224,2,18.365927351698776,31.541212648301222
0.1,6,21.903303030303032,7.495598402892174,2,14.407704627410858,29.398901433195206
0.1,7,26.07451,8.051786736269388,2,18.02272326373061,34.12629673626939
0.2,1,30.5929,5.751676505372061,1,24.84122349462794,36.34457650537206
0.2,2,22.02433,11.555006381034916,2,10.469323618965083,33.57933638103491
0.2,3,22.82575,8.877441802516685,2,13.948308197483314,31.703191802516685
0.2,4,22.746651999999997,11.019076201033958,5,11.72757579896604,33.76572820103395
0.2,5,19.41743,7.050187084350556,2,12.367242915649443,26.467617084350557
0.2,6,11.924079999999998,6.987028137595808,2,4.93705186240419,18.911108137595807
0.2,7,21.09853,7.871149528377718,2,13.227380471622283,28.969679528377718
0.3,1,29.198620000000002,5.880589894365555,1,23.31803010563445,35.079209894365555
0.3,2,19.615636363636366,11.80182879849001,2,7.813807565146355,31.417465162126376
0.3,3,19.25,8.300474152210532,2,10.949525847789468,27.550474152210533
0.3,4,19.744112449799196,11.427156071149145,5,8.316956378650051,31.17126852094834
0.3,5,13.84897,6.207921696265965,2,7.641048303734035,20.056891696265964
0.3,6,8.35394,5.401866435433463,2,2.952073564566537,13.755806435433463
0.3,7,16.85463,9.22318474615559,2,7.63144525384441,26.07781474615559
0.4,1,29.076700000000002,6.174219773066266,1,22.902480226933736,35.25091977306627
0.4,2,17.12307,11.0315500987354,2,6.091519901264599,28.1546200987354
0.4,3,16.74104,8.01507467078017,2,8.725965329219832,24.75611467078017
0.4,4,17.653171999999998,11.869027246304142,5,5.7841447536958555,29.52219924630414
0.4,5,10.89744,5.2210299891763485,2,5.676410010823651,16.118469989176347
0.4,6,7.31304,4.931831933532007,2,2.381208066467993,12.244871933532007
0.4,7,17.742729999999998,10.817051286858415,2,6.925678713141583,28.559781286858414
0.5,1,30.23476,5.71058156214927,1,24.524178437850733,35.945341562149274
0.5,2,17.41097,11.210604256103666,2,6.200365743896333,28.621574256103663
0.5,3,16.06471,10.624520752395416,2,5.440189247604586,26.689230752395417
