8bit_vector,DNF,DNF_literals,Emotion_Leniency
00000000,<class 'sympy.logic.boolalg.BooleanFalse'>,0,1.0
00000001,A & E & R,3,0.75
00000010,A & R & ~E,3,0.75
00000011,A & R,2,1.0
00000100,A & E & ~R,3,0.75
00000101,A & E,2,0.5
00000110,(A & E & ~R) | (A & R & ~E),6,0.5
00000111,(A & E) | (A & R),4,0.75
00001000,A & ~E & ~R,3,0.75
00001001,(A & E & R) | (A & ~E & ~R),6,0.5
00001010,A & ~E,2,0.5
00001011,(A & R) | (A & ~E),4,0.75
00001100,A & ~R,2,1.0
00001101,(A & E) | (A & ~R),4,0.75
00001110,(A & ~E) | (A & ~R),4,0.75
00001111,A,1,1.0
00010000,E & R & ~A,3,0.75
00010001,E & R,2,0.5
00010010,(A & R & ~E) | (E & R & ~A),6,0.5
00010011,(A & R) | (E & R),4,0.75
00010100,(A & E & ~R) | (E & R & ~A),6,0.5
00010101,(A & E) | (E & R),4,0.25
00010110,(A & E & ~R) | (A & R & ~E) | (E & R & ~A),9,0.25
00010111,(A & E) | (A & R) | (E & R),6,0.5
00011000,(E & R & ~A) | (A & ~E & ~R),6,0.5
00011001,(E & R) | (A & ~E & ~R),5,0.25
00011010,(A & ~E) | (E & R & ~A),5,0.25
00011011,(E & R) | (A & ~E),4,0.5
00011100,(A & ~R) | (E & R & ~A),5,0.75
00011101,(E & R) | (A & ~R),4,0.5
00011110,(A & ~E) | (A & ~R) | (E & R & ~A),7,0.5
00011111,A | (E & R),3,0.75
00100000,R & ~A & ~E,3,0.75
00100001,(A & E & R) | (R & ~A & ~E),6,0.5
00100010,R & ~E,2,0.5
00100011,(A & R) | (R & ~E),4,0.75
00100100,(A & E & ~R) | (R & ~A & ~E),6,0.5
00100101,(A & E) | (R & ~A & ~E),5,0.25
00100110,(R & ~E) | (A & E & ~R),5,0.25
00100111,(A & E) | (R & ~E),4,0.5
00101000,(A & ~E & ~R) | (R & ~A & ~E),6,0.5
00101001,(A & E & R) | (A & ~E & ~R) | (R & ~A & ~E),9,0.25
00101010,(A & ~E) | (R & ~E),4,0.25
00101011,(A & R) | (A & ~E) | (R & ~E),6,0.5
00101100,(A & ~R) | (R & ~A & ~E),5,0.75
00101101,(A & E) | (A & ~R) | (R & ~A & ~E),7,0.5
00101110,(A & ~R) | (R & ~E),4,0.5
00101111,A | (R & ~E),3,0.75
00110000,R & ~A,2,1.0
00110001,(E & R) | (R & ~A),4,0.75
00110010,(R & ~A) | (R & ~E),4,0.75
00110011,R,1,1.0
00110100,(R & ~A) | (A & E & ~R),5,0.75
00110101,(A & E) | (R & ~A),4,0.5
00110110,(R & ~A) | (R & ~E) | (A & E & ~R),7,0.5
00110111,R | (A & E),3,0.75
00111000,(R & ~A) | (A & ~E & ~R),5,0.75
00111001,(E & R) | (R & ~A) | (A & ~E & ~R),7,0.5
00111010,(A & ~E) | (R & ~A),4,0.5
00111011,R | (A & ~E),3,0.75
00111100,(A & ~R) | (R & ~A),4,1.0
00111101,(E & R) | (A & ~R) | (R & ~A),6,0.75
00111110,(A & ~R) | (R & ~A) | (R & ~E),6,0.75
00111111,A | R,2,1.0
