norm,norm_desc,variant_id,4bit_orig,8bit_vector,DB_mean,DB_nice,DG_mean,DG_nice,CB_mean,CB_nice,CG_mean,CG_nice,Emotion_Leniency,expanded_original_B
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,11,1111,0,0,0,0,1,1,1,1,1,FALSE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v2,11,1101,0,0,0,0,1,1,0,1,0.75,FALSE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,11,111,0,0,0,0,0,1,1,1,0.75,FALSE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v4,11,101,0,0,0,0,0,1,0,1,0.5,FALSE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v5,11,101111,0,0,1,0,1,1,1,1,0.75,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v6,11,101101,0,0,1,0,1,1,0,1,0.5,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v7,11,100111,0,0,1,0,0,1,1,1,0.5,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v8,11,100101,0,0,1,0,0,1,0,1,0.25,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v9,11,10001111,1,0,0,0,1,1,1,1,0.75,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v10,11,10001101,1,0,0,0,1,1,0,1,0.5,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v11,11,10000111,1,0,0,0,0,1,1,1,0.5,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v12,11,10000101,1,0,0,0,0,1,0,1,0.25,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v13,11,10101111,1,0,1,0,1,1,1,1,0.5,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v14,11,10101101,1,0,1,0,1,1,0,1,0.25,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v15,11,10100111,1,0,1,0,0,1,1,1,0.25,TRUE
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v16,11,10100101,1,0,1,0,0,1,0,1,0,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v1,1,11,0,0,0,0,0,0,1,1,1,FALSE
Shunning,Only cooperating with good people is good.,Shunning_v2,1,1,0,0,0,0,0,0,0,1,0.75,FALSE
Shunning,Only cooperating with good people is good.,Shunning_v3,1,1011,0,0,0,0,1,0,1,1,0.75,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v4,1,1001,0,0,0,0,1,0,0,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v5,1,100011,0,0,1,0,0,0,1,1,0.75,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v6,1,100001,0,0,1,0,0,0,0,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v7,1,101011,0,0,1,0,1,0,1,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v8,1,101001,0,0,1,0,1,0,0,1,0.25,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v9,1,10000011,1,0,0,0,0,0,1,1,0.75,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v10,1,10000001,1,0,0,0,0,0,0,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v11,1,10001011,1,0,0,0,1,0,1,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v12,1,10001001,1,0,0,0,1,0,0,1,0.25,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v13,1,10100011,1,0,1,0,0,0,1,1,0.5,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v14,1,10100001,1,0,1,0,0,0,0,1,0.25,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v15,1,10101011,1,0,1,0,1,0,1,1,0.25,TRUE
Shunning,Only cooperating with good people is good.,Shunning_v16,1,10101001,1,0,1,0,1,0,0,1,0,TRUE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v1,1011,11001111,1,1,0,0,1,1,1,1,1,FALSE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v2,1011,11001101,1,1,0,0,1,1,0,1,0.75,FALSE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v3,1011,11000111,1,1,0,0,0,1,1,1,0.75,FALSE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v4,1011,11000101,1,1,0,0,0,1,0,1,0.5,FALSE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v5,1011,11101111,1,1,1,0,1,1,1,1,0.75,TRUE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v6,1011,11101101,1,1,1,0,1,1,0,1,0.5,TRUE
