norm,variant_id,4bit_orig,8bit_vector,DB_mean,DB_nice,DG_mean,DG_nice,CB_mean,CB_nice,CG_mean,CG_nice,Emotion_Leniency,DNF,DNF_literals
SternJudging,Stern_Judging_v1,1001,11000011,1,1,0,0,0,0,1,1,1.0,(A & R) | (~A & ~R),4
SternJudging,Stern_Judging_v2,1001,11000001,1,1,0,0,0,0,0,1,0.75,(A & E & R) | (~A & ~R),5
SternJudging,Stern_Judging_v3,1001,11001011,1,1,0,0,1,0,1,1,0.75,(A & R) | (~A & ~R) | (~E & ~R),6
SternJudging,Stern_Judging_v4,1001,11001001,1,1,0,0,1,0,0,1,0.5,(A & E & R) | (~A & ~R) | (~E & ~R),7
SternJudging,Stern_Judging_v5,1001,11010011,1,1,0,1,0,0,1,1,0.75,(A & R) | (E & ~A) | (~A & ~R),6
SternJudging,Stern_Judging_v6,1001,11010001,1,1,0,1,0,0,0,1,0.5,(E & R) | (~A & ~R),4
SternJudging,Stern_Judging_v7,1001,11011011,1,1,0,1,1,0,1,1,0.5,(E & R) | (A & ~E) | (~A & ~R),6
SternJudging,Stern_Judging_v8,1001,11011001,1,1,0,1,1,0,0,1,0.25,(E & R) | (~A & ~R) | (~E & ~R),6
SternJudging,Stern_Judging_v9,1001,10000011,1,0,0,0,0,0,1,1,0.75,(A & R) | (~A & ~E & ~R),5
SternJudging,Stern_Judging_v10,1001,10000001,1,0,0,0,0,0,0,1,0.5,(A & E & R) | (~A & ~E & ~R),6
SternJudging,Stern_Judging_v11,1001,10001011,1,0,0,0,1,0,1,1,0.5,(A & R) | (~E & ~R),4
SternJudging,Stern_Judging_v12,1001,10001001,1,0,0,0,1,0,0,1,0.25,(A & E & R) | (~E & ~R),5
SternJudging,Stern_Judging_v13,1001,10010011,1,0,0,1,0,0,1,1,0.5,(A & R) | (E & R) | (~A & ~E & ~R),7
SternJudging,Stern_Judging_v14,1001,10010001,1,0,0,1,0,0,0,1,0.25,(E & R) | (~A & ~E & ~R),5
SternJudging,Stern_Judging_v15,1001,10011011,1,0,0,1,1,0,1,1,0.25,(E & R) | (A & ~E) | (~E & ~R),6
SternJudging,Stern_Judging_v16,1001,10011001,1,0,0,1,1,0,0,1,0.0,(E & R) | (~E & ~R),4
ImageScoring,Image_Scoring_v1,0011,00001111,0,0,0,0,1,1,1,1,1.0,A,1
ImageScoring,Image_Scoring_v2,0011,00001101,0,0,0,0,1,1,0,1,0.75,(A & E) | (A & ~R),4
ImageScoring,Image_Scoring_v3,0011,00000111,0,0,0,0,0,1,1,1,0.75,(A & E) | (A & R),4
ImageScoring,Image_Scoring_v4,0011,00000101,0,0,0,0,0,1,0,1,0.5,A & E,2
ImageScoring,Image_Scoring_v5,0011,00011111,0,0,0,1,1,1,1,1,0.75,A | (E & R),3
ImageScoring,Image_Scoring_v6,0011,00011101,0,0,0,1,1,1,0,1,0.5,(E & R) | (A & ~R),4
ImageScoring,Image_Scoring_v7,0011,00010111,0,0,0,1,0,1,1,1,0.5,(A & E) | (A & R) | (E & R),6
ImageScoring,Image_Scoring_v8,0011,00010101,0,0,0,1,0,1,0,1,0.25,(A & E) | (E & R),4
ImageScoring,Image_Scoring_v9,0011,01001111,0,1,0,0,1,1,1,1,0.75,A | (E & ~R),3
ImageScoring,Image_Scoring_v10,0011,01001101,0,1,0,0,1,1,0,1,0.5,(A & E) | (A & ~R) | (E & ~R),6
ImageScoring,Image_Scoring_v11,0011,01000111,0,1,0,0,0,1,1,1,0.5,(A & R) | (E & ~R),4
ImageScoring,Image_Scoring_v12,0011,01000101,0,1,0,0,0,1,0,1,0.25,(A & E) | (E & ~R),4
ImageScoring,Image_Scoring_v13,0011,01011111,0,1,0,1,1,1,1,1,0.5,A | E,2
ImageScoring,Image_Scoring_v14,0011,01011101,0,1,0,1,1,1,0,1,0.25,E | (A & ~R),3
ImageScoring,Image_Scoring_v15,0011,01010111,0,1,0,1,0,1,1,1,0.25,E | (A & R),3
ImageScoring,Image_Scoring_v16,0011,01010101,0,1,0,1,0,1,0,1,0.0,E,1
SimpleStanding,Simple_Standing_v1,1011,11001111,1,1,0,0,1,1,1,1,1.0,A | ~R,2
SimpleStanding,Simple_Standing_v2,1011,11001101,1,1,0,0,1,1,0,1,0.75,~R | (A & E),3
SimpleStanding,Simple_Standing_v3,1011,11000111,1,1,0,0,0,1,1,1,0.75,(A & R) | (E & ~R) | (~A & ~R),6
SimpleStanding,Simple_Standing_v4,1011,11000101,1,1,0,0,0,1,0,1,0.5,(A & E) | (~A & ~R),4
SimpleStanding,Simple_Standing_v5,1011,11011111,1,1,0,1,1,1,1,1,0.75,A | E | ~R,3
SimpleStanding,Simple_Standing_v6,1011,11011101,1,1,0,1,1,1,0,1,0.5,E | ~R,2
SimpleStanding,Simple_Standing_v7,1011,11010111,1,1,0,1,0,1,1,1,0.5,E | (A & R) | (~A & ~R),5
SimpleStanding,Simple_Standing_v8,1011,11010101,1,1,0,1,0,1,0,1,0.25,E | (~A & ~R),3
SimpleStanding,Simple_Standing_v9,1011,10001111,1,0,0,0,1,1,1,1,0.75,A | (~E & ~R),3
SimpleStanding,Simple_Standing_v10,1011,10001101,1,0,0,0,1,1,0,1,0.5,(A & E) | (~E & ~R),4
SimpleStanding,Simple_Standing_v11,1011,10000111,1,0,0,0,0,1,1,1,0.5,(A & E) | (A & R) | (~A & ~E & ~R),7
SimpleStanding,Simple_Standing_v12,1011,10000101,1,0,0,0,0,1,0,1,0.25,(A & E) | (~A & ~E & ~R),5
SimpleStanding,Simple_Standing_v13,1011,10011111,1,0,0,1,1,1,1,1,0.5,A | (E & R) | (~E & ~R),5
SimpleStanding,Simple_Standing_v14,1011,10011101,1,0,0,1,1,1,0,1,0.25,(E & R) | (A & ~R) | (~E & ~R),6
SimpleStanding,Simple_Standing_v15,1011,10010111,1,0,0,1,0,1,1,1,0.25,(A & E) | (A & R) | (E & R) | (~A & ~E & ~R),9
SimpleStanding,Simple_Standing_v16,1011,10010101,1,0,0,1,0,1,0,1,0.0,(A & E) | (E & R) | (~A & ~E & ~R),7
Shunning,Shunning_v1,0001,00000011,0,0,0,0,0,0,1,1,1.0,A & R,2
Shunning,Shunning_v2,0001,00000001,0,0,0,0,0,0,0,1,0.75,A & E & R,3
Shunning,Shunning_v3,0001,00001011,0,0,0,0,1,0,1,1,0.75,(A & R) | (A & ~E),4
Shunning,Shunning_v4,0001,00001001,0,0,0,0,1,0,0,1,0.5,(A & E & R) | (A & ~E & ~R),6
Shunning,Shunning_v5,0001,00010011,0,0,0,1,0,0,1,1,0.75,(A & R) | (E & R),4
Shunning,Shunning_v6,0001,00010001,0,0,0,1,0,0,0,1,0.5,E & R,2
Shunning,Shunning_v7,0001,00011011,0,0,0,1,1,0,1,1,0.5,(E & R) | (A & ~E),4
Shunning,Shunning_v8,0001,00011001,0,0,0,1,1,0,0,1,0.25,(E & R) | (A & ~E & ~R),5
Shunning,Shunning_v9,0001,01000011,0,1,0,0,0,0,1,1,0.75,(A & R) | (E & ~A & ~R),5
Shunning,Shunning_v10,0001,01000001,0,1,0,0,0,0,0,1,0.5,(A & E & R) | (E & ~A & ~R),6
Shunning,Shunning_v11,0001,01001011,0,1,0,0,1,0,1,1,0.5,(A & R) | (A & ~E) | (E & ~A & ~R),7
Shunning,Shunning_v12,0001,01001001,0,1,0,0,1,0,0,1,0.25,(A & E & R) | (A & ~E & ~R) | (E & ~A & ~R),9
Shunning,Shunning_v13,0001,01010011,0,1,0,1,0,0,1,1,0.5,(A & R) | (E & ~A),4
Shunning,Shunning_v14,0001,01010001,0,1,0,1,0,0,0,1,0.25,(E & R) | (E & ~A),4
Shunning,Shunning_v15,0001,01011011,0,1,0,1,1,0,1,1,0.25,(E & R) | (A & ~E) | (E & ~A),6
Shunning,Shunning_v16,0001,01011001,0,1,0,1,1,0,0,1,0.0,(E & R) | (E & ~A) | (A & ~E & ~R),7
