base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.794,1.0,0.725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.321,1.0,0.575,0.9,0.0,0.0,0.05,0.0,0.025,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.773,1.0,0.975,0.35,0.0,0.0,0.0,0.0,0.65,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.961,1.0,0.95,0.0,0.725,0.0,0.0,0.25,0.0,0.025,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.195,1.0,0.6,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.444,1.0,0.95,0.025,0.55,0.0,0.05,0.05,0.325,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.577,1.0,0.825,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.68,1.0,0.95,0.0,0.45,0.0,0.0,0.55,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.707,1.0,0.95,0.775,0.0,0.0,0.0,0.0,0.2,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.17,1.0,0.675,0.0,0.975,0.0,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.103,1.0,0.975,0.0,0.275,0.0,0.025,0.7,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.743,1.0,0.725,0.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,13.356,1.0,0.925,0.875,0.0,0.0,0.0,0.0,0.1,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.925,1.0,0.8,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.589,1.0,0.975,0.175,0.0,0.0,0.0,0.0,0.8,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.2,1.0,0.925,0.0,0.9,0.0,0.0,0.075,0.025,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.576,1.0,0.95,0.0,0.725,0.075,0.0,0.2,0.0,0.0,0.0
