base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.326,1.0,0.025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,13.946,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.49,1.0,0.35,0.675,0.0,0.0,0.25,0.0,0.025,0.0,0.05
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,13.092,1.0,0.075,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.075
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.034,1.0,0.95,0.0,0.0,0.875,0.0,0.0,0.1,0.0,0.025
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,15.32,1.0,0.475,0.0,0.05,0.0,0.05,0.9,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.902,1.0,0.075,0.65,0.0,0.0,0.325,0.0,0.0,0.0,0.025
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,14.396,1.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,15.674,1.0,0.025,0.0,0.925,0.05,0.0,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,19.608,1.0,0.5,0.3,0.0,0.0,0.6,0.05,0.0,0.05,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,14.759,1.0,0.375,0.475,0.0,0.1,0.4,0.0,0.0,0.0,0.025
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,19.991,1.0,0.025,0.975,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,20.178,1.0,0.075,0.725,0.0,0.0,0.2,0.025,0.0,0.025,0.025
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.998,1.0,0.8,0.0,0.175,0.65,0.05,0.1,0.025,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,18.072,1.0,0.025,0.975,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,17.862,1.0,0.025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
