base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,28.127,0.956,0.925,0.0,0.0,0.0,0.925,0.0,0.0,0.075,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,50.531,0.872,0.35,0.0,0.475,0.35,0.0,0.05,0.025,0.025,0.075
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,54.763,0.916,0.825,0.05,0.0,0.0,0.8,0.0,0.0,0.15,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,58.115,0.976,0.85,0.0,0.0,0.0,0.95,0.025,0.0,0.025,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,58.273,1.0,0.825,0.0,0.0,0.0,0.975,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,45.049,1.0,0.6,0.075,0.0,0.0,0.875,0.05,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,58.727,1.0,0.875,0.0,0.0,0.0,0.975,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,72.527,0.975,0.9,0.025,0.0,0.0,0.975,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,70.202,0.949,0.55,0.025,0.0,0.0,0.9,0.075,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,69.361,1.0,0.025,0.0,0.9,0.075,0.0,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,70.202,0.98,0.825,0.0,0.0,0.0,0.975,0.0,0.0,0.025,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,65.739,0.957,0.8,0.0,0.0,0.0,0.925,0.025,0.0,0.05,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,77.167,0.891,0.6,0.0,0.0,0.0,0.65,0.3,0.0,0.05,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,78.831,0.985,0.75,0.0,0.0,0.0,0.925,0.025,0.0,0.05,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,74.512,0.959,0.725,0.025,0.0,0.0,0.875,0.1,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,77.298,0.959,0.725,0.0,0.0,0.0,0.875,0.05,0.0,0.075,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,78.383,0.98,0.75,0.0,0.025,0.0,0.95,0.0,0.0,0.025,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,79.886,0.801,0.875,0.0,0.0,0.0,0.675,0.0,0.0,0.325,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,78.433,1.0,0.825,0.025,0.0,0.0,0.975,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,79.415,0.84,0.65,0.075,0.025,0.0,0.475,0.175,0.0,0.175,0.075
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,22.76,0.755,0.85,0.0,0.0,0.125,0.0,0.0,0.0,0.175,0.7
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,33.556,0.753,0.4,0.0,0.125,0.6,0.0,0.225,0.0,0.0,0.05
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,19.806,0.994,0.05,0.0,0.775,0.175,0.0,0.05,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,46.354,0.932,0.2,0.0,0.625,0.25,0.0,0.0,0.125,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,54.956,1.0,0.05,0.0,0.975,0.0,0.0,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,66.562,1.0,0.875,0.0,0.0,0.0,0.975,0.025,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,70.465,1.0,0.7,0.025,0.0,0.0,0.925,0.025,0.0,0.025,0.0
"[[0, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,72.497,0.91,0.725,0.025,0.0,0.0,0.85,0.0,0.0,0.125,0.0
