base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.475,1.0,0.0,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.07,0.94,0.025,0.85,0.0,0.0,0.075,0.0,0.0,0.0,0.075
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.242,1.0,0.0,0.85,0.0,0.0,0.15,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.197,1.0,0.0,0.975,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,6.285,0.846,0.075,0.0,0.15,0.825,0.0,0.0,0.0,0.0,0.025
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.576,0.841,0.05,0.475,0.0,0.0,0.175,0.275,0.05,0.0,0.025
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,6.712,0.976,0.0,0.6,0.0,0.0,0.375,0.0,0.0,0.0,0.025
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,7.229,0.781,0.1,0.0,0.05,0.85,0.0,0.0,0.05,0.0,0.05
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,5.456,1.0,0.0,0.325,0.0,0.0,0.675,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,9.557,0.861,0.025,0.0,0.0,0.95,0.0,0.0,0.05,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,7.353,0.982,0.025,0.675,0.0,0.0,0.3,0.0,0.025,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,7.302,0.975,0.0,0.25,0.1,0.0,0.65,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,12.07,0.936,0.025,0.0,0.0,0.975,0.0,0.0,0.025,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,10.039,0.915,0.0,0.0,0.075,0.925,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,12.495,0.681,0.1,0.0,0.025,0.75,0.0,0.0,0.0,0.0,0.225
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,12.674,1.0,0.0,0.0,0.925,0.075,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,13.006,0.6,0.175,0.0,0.0,0.725,0.0,0.025,0.05,0.0,0.2
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,0.5,0.5,0.0,0.5,13.173,0.646,0.075,0.0,0.0,0.8,0.15,0.0,0.05,0.0,0.0
