base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.474,1.0,0.825,0.75,0.0,0.0,0.225,0.025,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.915,1.0,1.0,0.0,0.525,0.025,0.0,0.45,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.303,1.0,0.95,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.736,1.0,0.925,0.0,0.95,0.0,0.0,0.025,0.0,0.025,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.589,1.0,0.75,0.0,0.85,0.0,0.0,0.125,0.0,0.025,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.918,1.0,0.85,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.964,1.0,0.725,0.0,0.925,0.05,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.377,1.0,0.875,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.036,1.0,0.575,0.0,0.875,0.075,0.0,0.0,0.0,0.05,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.148,1.0,0.7,0.9,0.0,0.0,0.05,0.0,0.05,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.945,1.0,0.95,0.075,0.0,0.0,0.0,0.0,0.925,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.321,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.955,1.0,1.0,0.0,0.025,0.025,0.0,0.95,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.86,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.622,1.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.686,1.0,0.725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,12.891,1.0,0.6,0.95,0.0,0.0,0.025,0.0,0.0,0.0,0.025
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,10.263,1.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,16.478,1.0,0.85,0.0,0.875,0.0,0.0,0.075,0.0,0.05,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(0, 1), (1, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,16.876,1.0,0.675,0.975,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.385,1.0,0.7,0.0,0.95,0.025,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.313,1.0,0.625,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.189,1.0,0.95,0.0,0.45,0.0,0.0,0.55,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.33,1.0,0.725,0.925,0.0,0.0,0.0,0.0,0.05,0.0,0.025
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.734,1.0,0.925,0.875,0.0,0.0,0.0,0.0,0.1,0.0,0.025
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.672,1.0,0.65,0.925,0.0,0.0,0.05,0.0,0.0,0.0,0.025
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.657,1.0,0.7,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,7.4,1.0,0.75,0.0,0.95,0.0,0.0,0.025,0.0,0.025,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.842,1.0,0.95,0.475,0.0,0.0,0.025,0.0,0.5,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.041,1.0,0.925,0.0,0.825,0.0,0.025,0.15,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,8.093,1.0,0.775,0.0,0.975,0.0,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.54,1.0,0.975,0.0,0.65,0.0,0.0,0.325,0.0,0.025,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.184,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,11.42,1.0,0.525,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.025
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,9.775,1.0,0.675,0.65,0.325,0.0,0.025,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,19.464,1.0,0.7,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,17.832,1.0,0.925,0.425,0.0,0.0,0.05,0.0,0.525,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,27.368,1.0,0.975,0.075,0.0,0.0,0.925,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (1, 1)], [(1, 1), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,1.0,0.0,0.0,emotion,5,1,1.0,400,1.0,1.0,0.0,1.0,31.751,1.0,0.675,0.0,0.95,0.025,0.0,0.025,0.0,0.0,0.0
