base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.513,1.0,0.4,0.1,0.1,0.025,0.775,0.78,0.23
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.039,1.0,0.4,0.025,0.0,0.1,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.008,1.0,0.4,0.025,0.05,0.025,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.918,1.0,0.4,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.637,1.0,0.4,0.0,0.15,0.025,0.825,0.17,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.712,1.0,0.4,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.226,1.0,0.4,0.025,0.025,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.061,1.0,0.4,0.0,0.05,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.199,1.0,0.4,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.087,1.0,0.4,0.025,0.0,0.0,0.975,0.03,0.97
