base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.492,0.093,0.48,0.84,0.0,0.0,0.0,0.0,0.12,0.0,0.04
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.249,0.093,0.48,0.02,0.72,0.04,0.0,0.04,0.0,0.12,0.06
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.96,0.093,0.48,0.88,0.0,0.0,0.06,0.0,0.02,0.0,0.04
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.819,0.093,0.48,0.94,0.0,0.0,0.02,0.0,0.04,0.0,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.525,0.093,0.48,0.0,0.94,0.06,0.0,0.0,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.224,0.093,0.48,0.0,0.84,0.14,0.0,0.02,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.825,0.093,0.48,0.0,0.82,0.08,0.0,0.06,0.0,0.04,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.91,0.093,0.48,0.0,0.74,0.02,0.04,0.18,0.0,0.02,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.866,0.093,0.48,0.0,0.76,0.14,0.0,0.0,0.0,0.1,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.008,0.093,0.48,0.76,0.0,0.06,0.0,0.0,0.18,0.0,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.851,0.093,0.48,0.86,0.0,0.0,0.0,0.0,0.1,0.0,0.04
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.878,0.093,0.48,0.0,0.9,0.04,0.02,0.04,0.0,0.0,0.0
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.855,0.093,0.48,0.0,0.92,0.02,0.0,0.02,0.0,0.04,0.0
