base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.058,0.087,0.5,0.0,0.96,0.0,0.0,0.04,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.06,0.114,0.44,0.0,0.96,0.0,0.0,0.0,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.232,0.13,0.52,0.0,0.98,0.0,0.0,0.0,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,4.732,0.146,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,4.997,0.114,0.4,0.0,0.94,0.0,0.0,0.06,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.114,0.098,0.42,0.0,0.86,0.02,0.0,0.06,0.0,0.06,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,4.942,0.098,0.4,0.0,0.94,0.0,0.0,0.04,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.116,0.113,0.54,0.96,0.0,0.0,0.0,0.0,0.02,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,5.072,0.09,0.5,0.0,0.88,0.04,0.0,0.06,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,4000,1.0,0.01,0.01,0.0,0.2,0.0,0.01,emotion,5,1,1.0,4000,1000,0.0,1.0,0.0,1.0,4.946,0.1,0.52,0.98,0.0,0.0,0.02,0.0,0.0,0.0,0.0
