base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.155,0.682,0.0,0.02,0.0,0.98,0.02,0.98
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.578,0.674,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,5.496,0.694,0.0,0.14,0.02,0.84,0.16,0.84
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.634,0.684,0.0,0.04,0.0,0.96,0.04,0.96
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.834,0.65,0.02,0.0,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.455,0.677,0.02,0.02,0.0,0.96,0.96,0.04
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.542,0.7,0.0,0.36,0.02,0.62,0.52,0.48
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,5.165,0.689,0.0,0.34,0.0,0.66,0.34,0.66
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.818,0.693,0.02,0.12,0.02,0.84,0.14,0.86
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.545,0.694,0.0,0.02,0.04,0.94,0.94,0.06
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.532,0.658,0.0,0.04,0.02,0.94,0.06,0.94
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.661,0.69,0.02,0.1,0.02,0.86,0.14,0.86
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,5.424,0.69,0.0,0.02,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.771,0.669,0.0,0.02,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,5.093,0.673,0.02,0.0,0.02,0.96,0.96,0.04
"[[1, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 0)]]",50,800,1.0,0.01,0.01,0.0,0.8,5,1,1.0,800,160,0.0,1.0,0.0,0.8,4.28,0.67,0.0,0.16,0.08,0.76,0.76,0.24
