base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [1, 1]]","[[(0, 1), (0, 1)], [(0, 1), (0, 1)]]",50,100,1.0,0.01,0.01,0.0,0.5,5,1,1.0,100,20,0.0,1.0,0.0,0.6,5.4,0.271,0.74,0.02,0.0,0.08,0.9,0.9,0.1
"[[1, 0], [1, 1]]","[[(0, 1), (0, 1)], [(0, 1), (0, 1)]]",50,100,1.0,0.01,0.01,0.0,0.5,5,1,1.0,100,20,0.0,1.0,0.0,0.6,5.545,0.189,0.56,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [1, 1]]","[[(0, 1), (0, 1)], [(0, 1), (0, 1)]]",50,100,1.0,0.01,0.01,0.0,0.5,5,1,1.0,100,20,0.0,1.0,0.0,0.6,4.368,0.394,0.34,0.0,0.14,0.0,0.86,0.86,0.14
"[[1, 0], [1, 1]]","[[(0, 1), (0, 1)], [(0, 1), (0, 1)]]",50,100,1.0,0.01,0.01,0.0,0.5,5,1,1.0,100,20,0.0,1.0,0.0,0.6,92.568,0.978,0.98,0.0,0.98,0.0,0.02,0.02,0.98
"[[1, 0], [1, 1]]","[[(0, 1), (0, 1)], [(0, 1), (0, 1)]]",50,100,1.0,0.01,0.01,0.0,0.5,5,1,1.0,100,20,0.0,1.0,0.0,0.6,92.883,0.96,0.96,0.0,0.98,0.02,0.0,0.02,0.98
"[[1, 0], [0, 0]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,200,1.0,0.01,0.01,0.0,1.0,5,1,1.0,200,40,0.0,1.0,0.0,1.0,4.635,1.0,0.46,0.0,0.04,0.0,0.96,0.04,0.96
"[[1, 0], [0, 0]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,200,1.0,0.01,0.01,0.0,1.0,5,1,1.0,200,40,0.0,1.0,0.0,1.0,6.35,1.0,0.48,0.0,0.08,0.0,0.92,0.08,0.92
"[[1, 0], [0, 0]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,200,1.0,0.01,0.01,0.0,1.0,5,1,1.0,200,40,0.0,1.0,0.0,1.0,24.154,1.0,0.54,0.04,0.02,0.04,0.9,0.1,0.9
"[[1, 0], [0, 0]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,200,1.0,0.01,0.01,0.0,1.0,5,1,1.0,200,40,0.0,1.0,0.0,1.0,43.766,1.0,0.56,0.06,0.0,0.02,0.92,0.08,0.92
"[[1, 0], [0, 0]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,200,1.0,0.01,0.01,0.0,1.0,5,1,1.0,200,40,0.0,1.0,0.0,1.0,87.911,1.0,0.0,0.06,0.0,0.94,0.0,0.06,0.94
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,5.288,1.0,0.04,0.0,0.38,0.0,0.62,0.62,0.38
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,25.584,1.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,38.924,1.0,0.34,0.0,0.98,0.0,0.02,0.98,0.02
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,46.97,1.0,0.46,0.0,0.98,0.02,0.0,0.98,0.02
"[[0, 0], [0, 1]]","[[(1, 0), (0, 0)], [(0, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,46.714,1.0,0.44,0.04,0.96,0.0,0.0,0.96,0.04
"[[1, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,4.522,1.0,0.64,0.02,0.0,0.06,0.92,0.92,0.08
"[[1, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,4.594,1.0,0.38,0.02,0.04,0.0,0.94,0.06,0.94
"[[1, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,4.184,1.0,0.46,0.02,0.0,0.08,0.9,0.9,0.1
"[[1, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,5.107,1.0,0.58,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 0), (0, 0)]]",50,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,25.736,1.0,0.56,0.42,0.46,0.06,0.06,0.48,0.52
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.729,1.0,0.0,0.025,0.05,0.0,0.925,0.93,0.07
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.214,1.0,0.0,0.075,0.775,0.0,0.15,0.82,0.17
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,5.043,1.0,0.0,0.025,0.0,0.0,0.975,0.97,0.03
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.228,1.0,0.0,0.1,0.1,0.0,0.8,0.2,0.8
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.615,1.0,0.0,0.0,0.575,0.025,0.4,0.57,0.42
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.322,1.0,0.0,0.0,0.075,0.0,0.925,0.93,0.07
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.538,1.0,0.0,0.025,0.65,0.025,0.3,0.2,0.8
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.112,1.0,0.0,0.025,0.0,0.0,0.975,0.97,0.03
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,4.465,1.0,0.0,0.0,0.0,0.025,0.975,0.03,0.97
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,500,1.0,0.01,0.01,0.0,1.0,5,1,1.0,500,100,0.0,1.0,0.0,1.0,5.125,1.0,0.0,0.025,0.775,0.025,0.175,0.78,0.23
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",40,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,4.831,1.0,0.0,0.025,0.1,0.0,0.875,0.88,0.12
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (0, 1)]]",40,100,1.0,0.01,0.01,0.0,1.0,5,1,1.0,100,20,0.0,1.0,0.0,1.0,4.715,1.0,0.0,0.0,0.325,0.05,0.625,0.38,0.62
