base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.199,0.095,0.48,0.86,0.0,0.0,0.04,0.0,0.06,0.0,0.04
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.19,0.095,0.48,0.92,0.0,0.0,0.04,0.0,0.04,0.0,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.598,0.095,0.48,0.0,0.9,0.02,0.0,0.04,0.0,0.04,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.827,0.095,0.48,0.7,0.0,0.0,0.18,0.0,0.06,0.06,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.008,0.095,0.48,0.0,0.94,0.0,0.02,0.02,0.0,0.02,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.91,0.095,0.48,0.0,0.8,0.12,0.0,0.06,0.0,0.02,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.115,0.095,0.48,0.0,0.92,0.04,0.0,0.0,0.0,0.0,0.04
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.973,0.095,0.48,0.0,0.94,0.02,0.0,0.02,0.0,0.02,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.822,0.095,0.48,0.0,0.86,0.02,0.0,0.08,0.0,0.04,0.0
"[[0, 0], [0, 1]]","[[(0, 0), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.162,0.095,0.48,0.0,0.78,0.16,0.0,0.04,0.0,0.02,0.0
