base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.344,0.113,0.375,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.05
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.385,0.092,0.4,0.0,0.75,0.075,0.0,0.15,0.0,0.025,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.313,0.113,0.5,0.925,0.0,0.0,0.025,0.0,0.0,0.0,0.05
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,5.847,0.102,0.425,0.0,0.925,0.05,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.387,0.128,0.4,0.0,0.975,0.0,0.0,0.025,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.046,0.15,0.5,0.0,0.9,0.0,0.0,0.075,0.0,0.025,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.137,0.145,0.325,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.127,0.107,0.35,0.925,0.0,0.0,0.0,0.0,0.05,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,6.047,0.14,0.55,0.0,0.95,0.0,0.025,0.025,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 0), (0, 1)], [(1, 0), (0, 1)]]",40,1600,1.0,0.01,0.01,0.0,0.4,0.0,0.0,emotion,5,1,1.0,400,0.0,0.0,0.0,0.0,5.904,0.098,0.4,0.0,0.975,0.025,0.0,0.0,0.0,0.0,0.0
