base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.025,0.104,0.42,0.98,0.0,0.0,0.02,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.07,0.104,0.42,0.0,0.84,0.04,0.04,0.04,0.0,0.04,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.839,0.104,0.42,0.76,0.0,0.0,0.0,0.0,0.14,0.0,0.1
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.945,0.104,0.42,0.0,0.96,0.0,0.04,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.55,0.104,0.42,0.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.914,0.104,0.42,0.9,0.0,0.0,0.06,0.0,0.02,0.0,0.02
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.875,0.104,0.42,0.0,0.82,0.06,0.0,0.12,0.0,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,8.685,0.104,0.42,0.9,0.0,0.02,0.02,0.0,0.06,0.0,0.0
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.232,0.104,0.42,0.84,0.0,0.0,0.1,0.0,0.04,0.0,0.02
"[[1, 0], [1, 1]]","[[(1, 1), (0, 0)], [(1, 1), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.0,0.0,0.01,emotion,5,1,1.0,3000,750,0.0,1.0,0.0,1.0,9.007,0.104,0.42,0.8,0.0,0.0,0.02,0.0,0.14,0.0,0.04
