base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.346,0.159,0.3,0.0,0.02,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.2,0.158,0.24,0.0,0.0,0.04,0.96,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.029,0.177,0.66,0.02,0.0,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,16.394,0.908,0.96,0.02,0.96,0.0,0.02,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,32.523,0.928,0.94,0.08,0.92,0.0,0.0,0.08,0.92
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,40.767,0.905,0.94,0.0,0.98,0.02,0.0,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,21.455,0.941,0.94,0.02,0.96,0.02,0.0,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,39.611,0.931,0.98,0.0,0.98,0.0,0.02,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,38.886,0.922,0.96,0.0,0.98,0.02,0.0,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,50.981,0.936,1.0,0.04,0.96,0.0,0.0,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,42.956,0.934,0.92,0.04,0.96,0.0,0.0,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,65.032,0.924,0.96,0.02,0.98,0.0,0.0,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,77.861,0.926,0.06,0.08,0.04,0.86,0.02,0.86,0.14
