base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.397,0.205,0.52,0.02,0.06,0.0,0.92,0.92,0.08
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.274,0.547,0.64,0.0,0.16,0.04,0.8,0.2,0.8
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.374,0.138,0.56,0.02,0.0,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.635,0.346,0.78,0.04,0.0,0.1,0.86,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,4.888,0.19,0.5,0.02,0.0,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.289,0.317,0.56,0.0,0.04,0.04,0.92,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.42,0.215,0.2,0.0,0.08,0.0,0.92,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.838,0.531,0.48,0.14,0.14,0.04,0.68,0.68,0.32
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.151,0.429,0.56,0.02,0.02,0.08,0.88,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.549,0.365,0.44,0.02,0.16,0.0,0.82,0.82,0.18
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.833,0.268,0.48,0.0,0.06,0.14,0.8,0.8,0.2
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.086,0.282,0.46,0.04,0.0,0.06,0.9,0.08,0.92
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.268,0.204,0.2,0.0,0.0,0.08,0.92,0.08,0.92
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.684,0.197,0.5,0.02,0.06,0.0,0.92,0.92,0.08
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.28,0.134,0.34,0.0,0.0,0.02,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.495,0.26,0.48,0.04,0.0,0.1,0.86,0.14,0.86
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.236,0.118,0.58,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.543,0.177,0.58,0.0,0.04,0.06,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.14,0.163,0.36,0.0,0.06,0.0,0.94,0.06,0.94
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.618,0.196,0.56,0.0,0.08,0.06,0.86,0.86,0.14
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.256,0.244,0.26,0.02,0.0,0.04,0.94,0.06,0.94
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.569,0.242,0.18,0.02,0.0,0.0,0.98,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.059,0.299,0.48,0.0,0.02,0.06,0.92,0.08,0.92
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.368,0.18,0.48,0.02,0.0,0.02,0.96,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,1,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.5,0.26,0.38,0.0,0.02,0.0,0.98,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,3,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.007,0.215,0.2,0.02,0.02,0.0,0.96,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,3,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.72,0.162,0.36,0.0,0.0,0.04,0.96,0.04,0.96
