base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,35.761,0.487,0.44,0.32,0.16,0.04,0.48,0.48,0.52
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,38.728,0.335,0.68,0.0,0.36,0.0,0.64,0.64,0.36
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,41.902,0.477,0.42,0.22,0.0,0.18,0.6,0.8,0.2
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,44.264,0.703,0.5,0.16,0.06,0.22,0.56,0.3,0.7
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,44.821,0.447,0.44,0.2,0.0,0.1,0.7,0.7,0.3
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,41.549,0.86,0.22,0.04,0.0,0.8,0.16,0.82,0.18
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,41.639,0.355,0.52,0.0,0.18,0.0,0.82,0.18,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,44.917,0.269,0.64,0.02,0.02,0.12,0.84,0.84,0.16
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,43.253,0.43,0.36,0.12,0.1,0.06,0.72,0.28,0.72
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,0.8,0.8,0.05,emotion,5,1,0.1,2000,400,0.0,1.0,0.0,1.0,45.251,0.498,0.66,0.26,0.02,0.0,0.72,0.48,0.52
