base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,4.988,0.146,0.56,0.0,0.04,0.0,0.96,0.96,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,4.937,0.306,0.66,0.02,0.02,0.02,0.94,0.06,0.94
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,8.746,0.886,0.04,0.0,0.0,1.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,16.258,0.893,0.02,0.0,0.0,1.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,18.561,0.897,0.96,0.0,0.98,0.0,0.02,0.02,0.98
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,24.079,0.894,0.94,0.0,0.96,0.04,0.0,0.04,0.96
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,21.688,0.22,0.12,0.0,0.02,0.14,0.84,0.16,0.84
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,28.732,0.852,0.06,0.04,0.0,0.96,0.0,0.96,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,64.654,0.85,0.08,0.04,0.0,0.94,0.02,0.94,0.06
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,71.264,0.883,0.04,0.0,0.0,0.98,0.02,0.98,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,77.112,0.834,0.9,0.0,0.98,0.0,0.02,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,73.334,0.85,0.12,0.0,0.0,1.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,77.769,0.838,0.96,0.22,0.78,0.0,0.0,0.22,0.78
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,1.0,0.0,0.01,0.0,0.8,0.8,0.05,emotion,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,79.85,0.878,1.0,0.02,0.98,0.0,0.0,0.02,0.98
