base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,9.183,0.929,0.9,0.0375,0.0,0.0,0.8875,0.0125,0.0,0.0625,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,6.217,0.134,0.562,0.975,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,10.853,0.893,0.938,0.0125,0.0,0.0,0.975,0.0,0.0,0.0125,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,6.503,0.296,0.475,0.0,0.9125,0.0125,0.0,0.0375,0.0,0.0375,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,16.517,0.919,0.975,0.0,0.0,0.0,0.9875,0.0125,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,8.825,0.923,0.062,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0375
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,53.977,0.913,0.962,0.0,0.0,0.0,0.975,0.0,0.0,0.0125,0.0125
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,56.515,0.913,0.925,0.025,0.0,0.0,0.8625,0.025,0.0,0.0875,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,64.483,0.899,0.025,0.0,0.0,0.0,0.0125,0.9625,0.0,0.0,0.025
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,66.91,0.911,0.95,0.0125,0.0,0.0,0.975,0.0,0.0,0.0125,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,85.674,0.91,0.962,0.0,0.0,0.0,0.925,0.0125,0.0,0.0625,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,89.043,0.906,0.138,0.0,0.025,0.0,0.0125,0.9125,0.0,0.0,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",80,3200,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,800,0.0,1.0,0.0,1.0,78.528,0.918,0.938,0.0,0.0,0.0,0.9625,0.0,0.0,0.0375,0.0
